parity,Config1,Config2,parameter,LSF,Uncert.,Group,HF,LSF/HF
e,3d8,,Eav,11481.9,130.000,,0.0,
e,3d8,,"F2(3d,3d)",70480.8,1277.000,,84334.824,0.83572594
e,3d8,,"F4(3d,3d)",44403.3,2174.000,,52008.0,0.85377826
e,3d8,,ALPHA(3d),77.0,fixed,,0.0,
e,3d8,,BETA(3d),0.0,fixed,,0.0,
e,3d8,,T(3d),0.0,fixed,,0.0,
e,3d8,,zeta(3d),455.1,130.000,,473.789,0.96055417
e,3d7.4s,,Eav,25982.0,151.000,,5339.2,4.8662721
e,3d7.4s,,"F2(3d,3d)",74890.5,860.000,1.0,92202.588,0.81223859
e,3d7.4s,,"F4(3d,3d)",48495.4,554.000,2.0,57213.529,0.8476212
e,3d7.4s,,ALPHA(3d),88.0,16.000,,0.0,
e,3d7.4s,,BETA(3d),0.0,fixed,,0.0,
e,3d7.4s,,T(3d),0.0,fixed,,0.0,
e,3d7.4s,,T1(3d),0.0,fixed,,0.0,
e,3d7.4s,,T2(3d),0.0,fixed,,0.0,
e,3d7.4s,,zeta(3d),516.0,76.000,,525.789,0.98138227
e,3d7.4s,,"G2(3d,4s)",8157.7,221.000,,10020.0,0.81414172
e,3d7.5s,,Eav,105111.3,221.000,,82400.1,1.27562102
e,3d7.5s,,"F2(3d,3d)",77567.0,891.000,1.0,93462.471,0.8299267
e,3d7.5s,,"F4(3d,3d)",49406.3,564.000,2.0,58056.824,0.85099901
e,3d7.5s,,ALPHA(3d),77.0,fixed,,0.0,
e,3d7.5s,,BETA(3d),0.0,fixed,,0.0,
e,3d7.5s,,T(3d),0.0,fixed,,0.0,
e,3d7.5s,,T1(3d),0.0,fixed,,0.0,
e,3d7.5s,,T2(3d),0.0,fixed,,0.0,
e,3d7.5s,,zeta(3d),534.3,fixed,,531.368,1.00551783
e,3d7.5s,,"G2(3d,5s)",1308.3,332.000,,1837.125,0.71214534
e,3d7.6s,,Eav,129688.2,267.000,,106310.1,1.21990479
e,3d7.6s,,"F2(3d,3d)",79052.3,908.000,1.0,93640.353,0.8442119
e,3d7.6s,,"F4(3d,3d)",49322.6,563.000,2.0,58176.118,0.84781525
e,3d7.6s,,ALPHA(3d),77.0,fixed,,0.0,
e,3d7.6s,,BETA(3d),0.0,fixed,,0.0,
e,3d7.6s,,T(3d),0.0,fixed,,0.0,
e,3d7.6s,,T1(3d),0.0,fixed,,0.0,
e,3d7.6s,,T2(3d),0.0,fixed,,0.0,
e,3d7.6s,,zeta(3d),538.9,fixed,,532.316,1.01236859
e,3d7.6s,,"G2(3d,6s)",524.1,fixed,,681.25,0.7693211
e,3d7.4d,,Eav,111866.3,197.000,,87858.1,1.27326109
e,3d7.4d,,"F2(3d,3d)",78856.2,906.000,1.0,93579.647,0.842664
e,3d7.4d,,"F4(3d,3d)",49192.6,562.000,2.0,58136.471,0.84615731
e,3d7.4d,,ALPHA(3d),77.0,fixed,,0.0,
