L1,L2,wn,wn_unc,I_obs,snr
37,305,17.1890553,0.001,341.2406761,13
375,77,19.5098035,4.77e-05,62.96638261,5
372,66,19.5620576,0.001,380.9193673,37
325,50,21.9714728,0.001,67.53188799,7
318,47,22.6259313,0.000126,103.8133656,4
352,79,23.3460582,7.1e-05,62.96638261,3
316,48,23.3461398,6.54e-05,77.68001106,5
30,312,24.0279169,0.0002115,324.5982208,4
33,313,24.1178509,5.207142857e-05,242.8852744,7
32,314,25.0995066,8.625e-05,171.1586554,4
343,82,26.2997735,0.001,1499.048361,41
341,69,26.3962202,4.26e-05,144.4006919,5
342,73,26.5206197,3.4875e-05,76.90709199,4
26,312,26.6258507,0.0001575,524.5742595,5
15,292,27.6072788,5.507142857e-05,687.1733217,14
16,293,27.9406637,7.766666667e-05,365.9833444,9
20,309,28.0270134,0.001,111.3406115,6
24,314,28.2731543,8.76e-05,279.384417,5
330,75,28.3160978,0.001,373.3766782,17
21,311,28.4999323,0.001,373.3766782,12
328,84,28.7272942,0.001,2236.316877,60
16,298,29.0076712,3.3375e-05,729.665685,20
17,300,29.1987215,4.145454545e-05,296.6605227,11
15,298,29.2675821,6e-05,355.1669315,10
16,300,29.5060047,0.001,38276.25921,1635
17,302,29.5101713,3.13125e-05,429.4852598,16
17,303,29.6569723,7.5e-05,226.4647964,7
318,64,29.6612121,0.001,72.42842985,4
16,304,30.119479,0.001,2731.44338,177
327,92,31.0785006,0.001,194.920196,7
313,49,32.9379047,3.125e-05,73.89156099,6
312,48,33.0745846,2.035714286e-05,279.384417,14
312,50,33.9693771,0.001,1529.331127,74
37,338,33.9752582,7.6875e-05,206.9733259,4
313,53,34.1169748,8.857142857e-06,822.695635,42
314,54,34.2555225,0.001,573.9755705,26
14,302,34.2555225,0.001,573.9755705,26
313,54,34.7104061,9.471428571e-05,365.9833444,7
37,343,34.818233,3.465e-06,6201.74048,184
312,53,34.8344484,2.358333333e-05,438.1614174,18
308,48,34.889209,0.001,334.4836778,12
310,50,35.0999579,7.542857143e-06,673.5663981,35
307,48,35.2385274,6.4875e-05,87.58384041,4
9,293,35.263708,0.001,120.6137612,7
8,291,35.3848593,2.8875e-05,494.0254911,16
311,53,35.4323806,1.384090909e-05,438.1614174,22
309,50,35.445308,5.46e-05,148.7983172,5
306,47,35.4580923,6.99e-05,109.1359394,5
33,329,35.4751087,4.32e-05,166.1001822,5
33,330,35.5041086,3.075e-05,634.341003,14
8,292,35.5659066,2.075e-05,355.1669315,18
