wn_obs,wn_obs_unc,I_obs,snr_obs
17.0095418,1.023529412e-05,442.5650028,17
17.0133474,3.09e-05,429.4852598,10
17.0228475,1.89e-06,7727.844255,283
17.0248272,6.775862069e-06,806.4051898,29
17.0356388,6.482142857e-06,729.665685,28
17.0820166,2.265e-06,1816796.046,58439
17.1477098,6.703125e-06,891.2154588,32
17.1477098,6.703125e-06,891.2154588,32
17.150919,1.636363636e-05,257.9043992,11
17.1511289,1.232142857e-05,305.6951502,14
17.1571813,1.65e-05,179.934096,9
17.1588199,2.16e-05,276.6045056,10
17.1688819,5.659090909e-06,1411.750639,44
17.1746403,2.266666667e-05,235.7069593,9
17.1768958,1.86e-06,17900.52192,741
17.1817383,1.321875e-05,433.8016484,16
17.187115,6.342857143e-06,856.27044,35
17.1890553,1.523076923e-05,341.2406761,13
17.1890553,1.523076923e-05,341.2406761,13
17.2019906,3.194444444e-06,1191.0445,54
17.2027555,5.073529412e-06,736.998937,34
17.203924,1.232142857e-05,305.6951502,14
17.2233679,1.95e-06,5128.586109,209
17.2244295,1.55e-05,290.7862706,12
17.2408753,2.96e-05,822.695635,15
17.256188,1.326923077e-05,276.6045056,13
17.266152,3.514285714e-05,196.8791664,7
17.289753,2.3625e-05,181.7424537,8
17.2921958,1.441666667e-05,568.2644281,18
17.3131207,5.175e-05,110.2327638,4
17.3206687,2.5875e-05,442.5650028,12
17.3218107,1.663636364e-05,235.7069593,11
17.3248968,1.5e-05,396.4649407,15
17.3274824,3.6e-05,110.2327638,5
17.3429789,1.92e-06,27517.71146,1208
17.3440826,3.617647059e-06,1110.522599,51
17.3545149,4.905405405e-06,790.437317,37
17.3631493,2.116666667e-05,196.8791664,9
17.3777427,2.58e-05,80.85015164,5
17.3800806,6.77027027e-06,1088.532798,37
17.3837023,1.77e-05,50.02911228,5
17.3905575,1.041176471e-05,351.6329715,17
17.3916139,1.95e-06,6390.611566,282
17.4228237,5.01e-05,147.3177592,5
17.4230775,2.61e-05,80.04568914,5
17.4607792,3.69e-05,93.93431287,5
17.4790987,1.130769231e-05,219.7717798,13
17.4800267,2.411392405e-06,1690.17218,79
17.4810798,1.297058824e-05,408.5390653,17
17.570382,1.755e-06,3687.062554,196
17.5719379,4e-06,653.6595321,39
17.5742146,2.614285714e-05,535.1713423,14
17.5754405,3.095454545e-05,404.4740436,11
17.6021005,3.12e-05,80.85015164,5
17.6148781,3.09375e-05,221.9805128,8
17.6159908,4.692857143e-05,242.8852744,7
17.6306066,7.32e-05,191.0605373,5
17.6360407,3.285e-05,334.4836778,10
17.6549944,2.166666667e-06,1469.365235,81
17.6605286,9.964285714e-06,200.8563692,14
17.6656995,6.285714286e-06,285.0283364,21
17.6679347,2.4e-05,82.48341285,6
17.673364,1.905e-06,3614.053844,185
17.6753475,8.152173913e-06,433.8016484,23
17.6861578,5.779411765e-06,680.3358429,34
17.688576,2.335714286e-05,124.2869666,7
17.6888625,4.15e-05,147.3177592,6
17.7028743,3.165e-06,3437.794407,107
17.7158686,4.1e-05,341.2406761,9
17.7175686,9.4125e-05,166.1001822,4
17.7327099,3.777777778e-06,1110.522599,54
17.7367292,5.793103448e-06,494.0254911,29
17.7377645,3.439655172e-06,1167.460259,58
17.7975355,1.209375e-05,308.7674275,16
17.7999879,4.235294118e-06,469.9316323,34
17.8010456,3.647727273e-06,687.1733217,44
17.8169084,1.14375e-05,276.6045056,16
17.8213477,2.625e-05,38.96293302,4
17.824042,1.5e-05,22.25640928,4
17.8308667,0.000191,185.4138746,3
17.8480421,1.704545455e-05,187.277305,11
17.8537801,5.8125e-05,82.48341285,4
17.8688383,2.316666667e-05,167.7695067,9
