lev_id,E_calc,J,P,lev_name
0,0.0,4.0,1,98 3d8 3F  4.0
1,0.9444,3.0,1,98 3d8 3F  3.0
2,1.5936,2.0,1,98 3d8 3F  2.0
3,3.4246,5.0,1,100 3d7.(4F).4s 5F  5.0
4,4.0588,4.0,1,100 3d7.(4F).4s 5F  4.0
5,4.5601,3.0,1,100 3d7.(4F).4s 5F  3.0
6,4.9295,2.0,1,100 3d7.(4F).4s 5F  2.0
7,5.1722,1.0,1,100 3d7.(4F).4s 5F  1.0
8,9.8667,4.0,1,99 3d7.(4F).4s 3F  4.0
9,10.7209,3.0,1,100 3d7.(4F).4s 3F  3.0
10,11.314,2.0,1,98 3d7.(4F).4s 3F  2.0
11,11.6456,2.0,1,75 3d8 1D  2.0
12,13.2766,2.0,1,75 3d8 3P  2.0
13,13.3901,1.0,1,96 3d8 3P  1.0
14,13.5824,0.0,1,96 3d8 3P  0.0
15,17.678,3.0,1,100 3d7.(4P).4s 5P  3.0
16,17.9563,2.0,1,98 3d7.(4P).4s 5P  2.0
17,18.2634,1.0,1,99 3d7.(4P).4s 5P  1.0
18,19.1723,4.0,1,96 3d8 1G  4.0
19,21.5228,5.0,1,99 3d7.(2G).4s 3G  5.0
20,21.882,4.0,1,97 3d7.(2G).4s 3G  4.0
21,22.2574,3.0,1,100 3d7.(2G).4s 3G  3.0
22,23.962,2.0,1,92 3d7.(4P).4s 3P  2.0
23,24.2197,1.0,1,88 3d7.(4P).4s 3P  1.0
24,24.4197,0.0,1,82 3d7.(4P).4s 3P  0.0
25,25.0823,4.0,1,93 3d7.(2G).4s 1G  4.0
26,25.1874,2.0,1,82 3d7.(2P).4s 3P  2.0
27,25.5867,1.0,1,83 3d7.(2P).4s 3P  1.0
28,26.0725,0.0,1,81 3d7.(2P).4s 3P  0.0
29,27.2397,6.0,1,100 3d7.(2H).4s 3H  6.0
30,27.3005,3.0,1,78 3d7.(2D2).4s 3D  3.0
31,27.5675,5.0,1,98 3d7.(2H).4s 3H  5.0
32,27.6306,1.0,1,47 3d7.(2D2).4s 3D  1.0
33,27.9037,2.0,1,72 3d7.(2D2).4s 3D  2.0
34,27.9619,4.0,1,95 3d7.(2H).4s 3H  4.0
35,29.2917,1.0,1,63 3d7.(2P).4s 1P  1.0
36,30.6979,5.0,1,99 3d7.(2H).4s 1H  5.0
37,30.9713,2.0,1,76 3d7.(2D2).4s 1D  2.0
38,40.439,2.0,1,100 3d7.(2F).4s 3F  2.0
39,40.5696,3.0,1,99 3d7.(2F).4s 3F  3.0
40,40.769,4.0,1,100 3d7.(2F).4s 3F  4.0
41,43.8066,3.0,1,100 3d7.(2F).4s 1F  3.0
42,44.0948,0.0,1,96 3d8 1S  0.0
43,60.2492,1.0,1,81 3d7.(2D1).4s 3D  1.0
44,60.3821,2.0,1,79 3d7.(2D1).4s 3D  2.0
45,60.6042,3.0,1,78 3d7.(2D1).4s 3D  3.0
46,63.648,2.0,1,79 3d7.(2D1).4s 1D  2.0
47,84.1271,5.0,1,100 3d7.(4F).5s 5F  5.0
48,84.6989,4.0,1,87 3d7.(4F).5s 5F  4.0
49,85.2732,3.0,1,94 3d7.(4F).5s 5F  3.0
50,85.6184,4.0,1,87 3d7.(4F).5s 3F  4.0
51,85.701,2.0,1,98 3d7.(4F).5s 5F  2.0
52,85.9817,1.0,1,100 3d7.(4F).5s 5F  1.0
53,86.4826,3.0,1,94 3d7.(4F).5s 3F  3.0
54,87.0794,2.0,1,97 3d7.(4F).5s 3F  2.0
55,90.1101,5.0,1,84 3d7.(4F).4d 5F  5.0
56,90.3842,6.0,1,92 3d7.(4F).4d 5G  6.0
57,90.3943,4.0,1,70 3d7.(4F).4d 5F  4.0
58,90.6718,3.0,1,35 3d7.(4F).4d 5P  3.0
59,90.71,7.0,1,100 3d7.(4F).4d 5H  7.0
60,90.7968,5.0,1,46 3d7.(4F).4d 5G  5.0
61,90.9392,3.0,1,50 3d7.(4F).4d 5P  3.0
62,91.0828,6.0,1,54 3d7.(4F).4d 5H  6.0
63,91.1687,2.0,1,66 3d7.(4F).4d 5F  2.0
64,91.2224,4.0,1,49 3d7.(4F).4d 5G  4.0
65,91.4378,5.0,1,56 3d7.(4F).4d 3G  5.0
66,91.5099,3.0,1,66 3d7.(4F).4d 3D  3.0
67,91.5317,4.0,1,46 3d7.(4F).4d 5D  4.0
68,91.5556,1.0,1,88 3d7.(4F).4d 5F  1.0
69,91.6368,2.0,1,66 3d7.(4F).4d 5P  2.0
70,91.7112,5.0,1,74 3d7.(4F).4d 5H  5.0
71,91.7412,6.0,1,58 3d7.(4F).4d 3H  6.0
72,91.774,3.0,1,56 3d7.(4F).4d 5G  3.0
73,92.0291,2.0,1,73 3d7.(4F).4d 5G  2.0
74,92.0591,4.0,1,62 3d7.(4F).4d 3G  4.0
75,92.166,1.0,1,58 3d7.(4F).4d 5P  1.0
76,92.1751,4.0,1,81 3d7.(4F).4d 5H  4.0
77,92.177,2.0,1,63 3d7.(4F).4d 3D  2.0
78,92.1904,3.0,1,65 3d7.(4F).4d 5D  3.0
79,92.4632,3.0,1,78 3d7.(4F).4d 5H  3.0
80,92.5127,5.0,1,78 3d7.(4F).4d 3H  5.0
81,92.5585,0.0,1,99 3d7.(4F).4d 5D  0.0
82,92.5606,2.0,1,64 3d7.(4F).4d 5D  2.0
83,92.6109,1.0,1,39 3d7.(4F).4d 3D  1.0
84,92.6373,3.0,1,83 3d7.(4F).4d 3G  3.0
85,92.7727,1.0,1,56 3d7.(4F).4d 3D  1.0
86,93.0708,4.0,1,89 3d7.(4F).4d 3H  4.0
87,94.7055,2.0,1,89 3d7.(4F).4d 3P  2.0
88,95.3357,4.0,1,89 3d7.(4F).4d 3F  4.0
89,95.4603,1.0,1,90 3d7.(4F).4d 3P  1.0
90,95.83,0.0,1,92 3d7.(4F).4d 3P  0.0
91,95.9137,3.0,1,88 3d7.(4F).4d 3F  3.0
92,96.2873,2.0,1,89 3d7.(4F).4d 3F  2.0
93,99.1164,3.0,1,100 3d7.(4P).5s 5P  3.0
94,99.3655,2.0,1,97 3d7.(4P).5s 5P  2.0
95,99.6987,1.0,1,96 3d7.(4P).5s 5P  1.0
96,100.3845,2.0,1,98 3d7.(4P).5s 3P  2.0
97,100.7022,1.0,1,94 3d7.(4P).5s 3P  1.0
