wn_calc,gA_calc,upper_lev_id,lower_lev_id
189.8503,487600,870,23
188.8826,227900,870,26
186.4394,3969000,870,32
186.1663,1287000,870,33
184.7783,8385000,870,35
183.8891,248000,864,2
183.0987,22910000,870,37
181.7105,232900,869,11
180.0795,706900,869,12
179.966,333400,869,13
179.5628,309700,868,12
179.4493,195500,868,13
179.257,263900,868,14
179.1927,272100,867,13
178.9414,1433000,865,8
178.7911,2231000,866,11
177.1625,11770000,865,11
177.1601,483800,866,12
175.5315,3151000,865,12
175.3998,106000,869,16
174.1687,2032000,864,10
173.8371,60230000,864,11
173.631,385300,870,38
172.2061,16850000,864,12
169.9752,35190000,870,42
169.6358,28650000,865,18
169.3941,376100,869,22
169.1364,101800,869,23
168.8774,703300,868,22
168.4197,324100,868,24
168.3631,214600,867,23
168.2355,119500,860,0
168.1687,5037000,869,26
167.9795,178200,858,0
167.7694,2333000,869,27
167.652,6273000,868,26
167.2527,555300,868,27
166.9961,4108000,867,27
166.9261,11440000,865,20
166.7669,2224000,868,28
166.5507,189000,865,21
166.4747,218600,866,22
166.4255,100200,859,2
166.217,3539000,866,23
166.0556,21110000,869,30
165.7255,697100,869,32
165.7114,273900,855,0
165.4524,6421000,869,33
165.2493,2661000,866,26
165.2088,4101000,868,32
164.9522,1281000,867,32
164.9357,6053000,868,33
164.85,298100,866,27
164.8109,879600,860,3
164.764,1677000,854,0
164.0644,157800,869,35
163.8196,139400,854,1
163.7845,220100,857,4
163.7258,9.894e+08,865,25
163.6495,1313000,853,1
163.6207,1610000,865,26
163.5477,499300,868,35
163.2911,1153000,867,35
163.2253,130700,864,21
163.0003,181900,853,2
162.9075,1016000,852,2
162.8061,23090000,866,32
162.533,7570000,866,33
162.3848,213300,869,37
161.8681,891500,868,37
161.7096,213500,851,0
161.7005,8234000,850,0
161.5207,325100,864,22
161.263,4184000,864,23
161.145,48030000,866,35
161.0192,4799000,847,0
160.9044,5885000,865,33
160.8462,51150000,865,34
160.7652,6561000,851,1
160.7561,614600,850,1
160.7052,104600,854,4
160.6288,561100,849,1
160.2953,3995000,864,26
160.1504,1563000,848,1
160.116,518500,851,2
159.9796,5285000,849,2
159.896,511500,864,27
159.4654,3.081e+08,866,37
159.2895,1821000,845,1
158.9781,1460000,846,2
158.3688,6094000,860,8
158.2924,576300,844,2
158.1128,3122000,858,8
157.9766,509800,857,8
157.8521,33970000,864,32
157.8368,1.824e+08,865,37
157.6508,300900,851,4
157.6417,3487000,850,4
157.5858,414400,861,11
157.579,11070000,864,33
157.5146,204500,860,9
157.2982,408400,859,9
157.2813,3434000,842,0
