wn_obs,wn_obs_unc,I_obs,snr_obs
11.889872798,1.1728775463e-06,307919.86871,103.43052479
11.900266431,1.4322718897e-05,15496.296113,5.2241938249
11.936459558,2.6510418292e-05,10246.21156,3.0989314953
11.936769042,2.0265497271e-05,16713.412983,4.3623248265
11.977943104,1.0660537325e-05,29309.166273,13.215907723
11.998548653,1.7945720931e-05,9083.3704911,4.0034184797
12.009399136,1.3936308007e-05,17040.089379,5.8988235714
12.033675114,1.4580733049e-05,31086.922091,11.32706731
12.040873577,1.8853601418e-05,6266.5501156,3.4840311763
12.084500384,2.8416526062e-05,8143.4223938,2.9870255226
12.093349691,1.7863378778e-05,16642.859727,5.1537135865
12.096589748,1.5399135859e-06,116875.49653,58.77169848
12.145053131,1.0062282554e-05,27012.561333,14.42035805
12.183762631,1.9404371245e-05,14020.804984,4.7373782749
12.213237645,1.9467827605e-05,8716.4242916,4.0566231887
12.217958751,1.379305131e-05,20777.714404,6.853954063
12.221869937,1.0407748733e-05,25336.815909,8.8504115594
12.23268506,8.1777437868e-06,11666.851374,8.0005852039
12.244128506,2.6114737851e-05,16822.225142,4.2254851014
12.276704831,1.6241433657e-05,38788.800018,11.500947319
12.278996488,1.5486186124e-05,30071.658874,11.624276798
12.308737223,1.0408065768e-05,24364.840156,14.22029101
12.310489091,1.1227889378e-05,24391.545951,8.5411551207
12.319000471,1.1682111918e-06,845938.23393,520.812655
12.336661976,1.1831371897e-06,265014.00663,154.93578843
12.343656516,3.0422805469e-05,16970.649184,3.9172643666
12.39733291,1.4619828304e-05,8077.0273343,4.9958778192
12.416937802,2.6383231491e-05,15521.705183,4.2359586321
12.429371344,1.091745379e-05,19071.150967,11.691606132
12.455535896,6.8200101695e-06,6951.9607163,7.9657985397
12.473509268,1.2204778732e-06,191905.62929,107.09645879
12.484546623,1.5794524065e-05,8415.2854223,4.9161482355
12.486956796,1.699119869e-06,71147.428599,49.622153542
12.495391708,1.1200318529e-05,32860.703561,15.613468768
12.52365745,9.1872822525e-06,29497.373522,16.786031548
12.524553767,5.1166646399e-06,13409.126765,12.280993866
12.524633062,4.8566721203e-06,12451.533619,12.593685595
12.524706888,7.7127835403e-06,10048.48216,8.3053418747
12.524818995,1.6033468433e-05,2111.5706111,3.1235932125
12.524972117,1.6604488596e-05,3008.3171607,3.1682634595
12.546971188,2.0532665622e-05,4986.4600129,3.5514736969
12.550335876,2.4766583705e-06,26995.327142,26.761640425
12.553216849,1.3833027721e-05,2776.7326572,3.8042850117
12.561055513,1.1419105564e-05,19100.05772,12.700101693
12.563355114,2.1949856881e-05,7500.8022395,3.8821258056
12.57565302,7.0870510449e-06,10864.021857,11.033275727
12.575723339,8.8267181719e-06,10659.000442,8.6941532437
12.578043752,1.1142046492e-06,155836.7719,154.20831367
12.578426729,1.7841244587e-05,7568.4973404,4.4852963363
12.610958235,1.1884442823e-05,5820.5816138,5.4856000052
12.614843561,1.4270606962e-05,13159.738982,6.3417070279
12.617913332,1.1763118993e-05,5781.197069,5.5218721225
12.620040684,2.9870804318e-05,6461.0361931,3.0591996134
12.627573003,6.4273410715e-06,22698.679525,20.801922253
12.630340179,3.4106689137e-05,5302.7632293,2.6464234685
12.645241566,2.9289673794e-05,7619.7122555,3.3009628427
12.654086153,8.581465724e-06,9558.7292175,8.064026722
12.660294755,2.4602716984e-05,9071.3602407,3.9698391294
12.67624967,9.2328976351e-06,5875.3756974,6.6380375741
12.684537171,1.3105805436e-05,3161.6892078,4.2497937644
12.697081483,2.2011459266e-05,8287.8130366,4.1692515798
12.699716042,1.3821124127e-05,4526.223885,4.6239151877
12.714089287,4.03945804e-05,2413.917824,1.8138794206
12.714212227,7.0043501913e-06,14959.102402,9.9056189534
12.714999698,1.2198083622e-05,6970.8092366,5.6560986436
12.715124393,2.6189955637e-05,2849.9647636,2.0658667431
12.73011642,1.9336821491e-05,6975.9384106,4.3199825299
12.742719352,2.4273863408e-05,5677.9894648,3.4788108487
12.756221674,2.5571465308e-05,8151.8440248,3.8365147854
12.77118042,1.771763556e-05,3459.9473774,3.6475404601
12.775666866,9.9898978763e-06,11903.454307,8.141789224
12.778873376,2.092326877e-05,4017.5351194,3.4859870392
12.785881982,3.3583286233e-05,1134.917211,1.1559346793
12.786033234,8.2860404319e-06,5751.5180334,7.1399958227
12.786120961,9.7010659351e-06,10888.598138,7.4999393502
12.787538585,2.5862731166e-05,3511.2879368,2.3725143842
12.788708083,2.8841356812e-05,2933.0483698,2.1484709368
12.793509717,3.6495858931e-05,3964.667822,2.454164899
12.800576217,1.7347614059e-05,1408.9429747,2.6416058231
12.803031514,6.6462918431e-06,32700.84174,22.936354523
12.804635018,3.1290524189e-05,3228.1630834,2.7323772998
12.806506129,1.1270015794e-05,847.39595698,3.5524460493
12.819700073,1.3192192077e-05,12076.070751,6.896477438
12.821323509,1.1280413004e-05,6594.7510015,6.3002147633
12.821499723,2.7297975527e-05,4596.7398299,3.0715622047
12.822841497,1.5081101274e-05,14378.487258,6.6997437532
12.825715048,1.9003631476e-05,2053.6758613,3.0124487754
12.826084733,1.7942528669e-05,3011.2296456,3.5590425577
12.829685131,1.1208000975e-05,7945.448624,6.7523361217
12.829812738,2.1427393639e-05,3105.2250763,3.1604712924
12.836992495,1.5243359332e-05,2037.8539364,3.6054170898
12.83782315,4.4044979268e-05,3507.8763654,2.5995059045
12.841354317,2.0631168087e-05,1498.2746618,3.2254250744
12.854653523,2.138771187e-05,2678.6775185,2.7287898422
12.857321661,2.2766702238e-05,4209.0851088,4.305528767
12.860185019,3.2636157726e-05,5823.6397923,3.2139127568
12.860811017,3.6977239211e-05,7030.4750329,4.2145607662
12.861428953,1.0787633606e-05,13606.037805,13.248016642
12.86968471,1.8218741989e-05,7588.1289883,4.8322147145
12.87143752,1.7519390628e-05,3896.1522824,3.9535252376
12.898057992,6.6435937404e-06,24704.930227,22.249291162
12.901420271,2.5195401202e-05,9288.0245038,6.7099999933
12.909803713,1.2739399577e-05,6965.9954865,6.0261948831
12.941469034,1.3479404063e-05,4236.534711,5.0077418228
12.942751378,1.192168945e-06,102542.73029,99.401855158
12.943501898,2.2411767105e-06,56706.357928,41.734847175
12.952826164,9.9164588823e-06,7712.1993835,7.4671036362
12.963857194,2.2514527776e-05,3528.4282152,3.3678091025
12.989254844,1.1550663739e-05,23589.478214,15.841173886
12.990923111,2.3233946446e-05,3739.6878617,3.6425801529
13.000193782,4.0293767296e-05,3252.4255426,2.7633010176
13.019386323,2.1210732642e-05,3405.8104257,3.3096572328
13.029169326,3.9875655749e-05,2792.8794281,3.7033292013
13.032844114,1.6592438792e-05,1573.175438,3.1162592153
13.037187328,1.7626180373e-05,2218.8641817,3.5657368244
13.041254771,2.3842967621e-05,3964.1613149,3.2978647003
13.045218313,1.0636533536e-05,11497.138441,8.46350632
13.057644681,1.1088016241e-05,3522.2762242,5.4798828967
13.075147865,1.3343367568e-05,14210.193734,12.472773941
13.085761491,8.0320498888e-06,16433.931053,18.249516237
13.093791958,1.2109057718e-06,406881.08518,423.61956642
13.097688824,1.4190017315e-05,3473.0611607,4.4281917784
