wn_calc,gA_calc,upper_lev_id,lower_lev_id
19.0261,34860000,102,3
20.1574,28160000,102,1
20.4205,49980000,104,1
19.2892,14620000,104,3
19.2129,35140000,103,3
20.3442,13910000,103,1
21.1108,33230000,105,0
20.7721,30740000,106,1
18.2638,18090000,107,5
20.861,13450000,108,1
21.3545,11350000,109,1
20.5041,23170000,110,2
21.4426,10550000,110,1
20.7103,69720000,111,2
20.7757,30070000,113,3
22.405,20060000,113,0
22.3864,27340000,112,0
20.9499,16490000,112,2
19.524,41170000,114,5
22.1739,13420000,116,1
21.2354,13290000,116,2
19.5839,41330000,115,5
21.1796,23000000,115,2
22.1181,20530000,115,1
22.8704,21700000,117,0
21.2411,11550000,117,3
20.5712,60780000,118,4
20.5917,30890000,119,4
23.1906,148100000,122,0
18.7238,48610000,122,7
22.6926,14050000,122,1
20.1584,13440000,122,5
17.2213,12950000,122,12
23.1659,453300000,120,0
18.6991,161800000,120,7
22.6679,92270000,120,1
17.1966,46450000,120,12
11.8699,14330000,121,36
21.9499,23500000,125,2
22.8625,63200000,123,1
23.3605,27200000,123,0
21.7312,23650000,123,3
23.3774,77490000,124,0
18.9106,28690000,124,7
20.3452,27770000,124,5
22.8794,22230000,124,1
21.9409,16830000,124,2
17.4081,11580000,124,12
20.8922,24390000,126,4
21.9932,20080000,126,2
19.0183,52190000,128,8
20.9499,10440000,128,4
23.4657,137500000,127,0
18.9989,46350000,127,7
17.4964,16360000,127,12
22.9677,12160000,127,1
20.6664,15400000,129,5
20.0485,10850000,130,6
19.3224,10650000,130,8
22.1918,54320000,131,3
18.3228,18600000,131,10
22.3846,16390000,131,2
23.3231,14440000,131,1
19.4248,35110000,132,8
22.4574,13690000,132,2
20.8617,12880000,132,5
23.9569,13850000,133,0
22.4223,35140000,134,3
24.0516,29110000,134,0
19.5848,11840000,134,7
22.5087,141400000,135,3
23.64,101100000,135,1
18.6397,85460000,135,10
22.7015,76520000,135,2
17.2457,21360000,135,14
20.4982,86370000,136,6
19.7721,12450000,136,8
12.2721,11440000,136,42
13.3572,10190000,136,35
24.2935,43820000,137,0
22.857,32340000,137,2
21.2613,21690000,137,5
21.8779,29490000,139,4
15.4241,13540000,139,21
20.6724,10230000,139,6
23.8633,387300000,138,1
22.732,200700000,138,3
18.863,192000000,138,10
22.9248,104600000,138,2
17.469,67690000,138,14
24.5912,67660000,141,0
24.0932,15910000,141,1
18.6219,14880000,141,12
18.5863,18950000,140,11
20.0523,15620000,140,8
24.1132,51940000,142,1
19.1129,11550000,142,10
22.177,52390000,143,4
20.2454,11950000,143,8
23.278,11110000,143,2
18.8178,11320000,144,11
24.2823,40210000,146,1
24.7803,22770000,146,0
24.2804,166700000,145,1
19.2801,30060000,145,10
24.9235,54040000,147,0
24.4509,26680000,148,1
20.4798,18650000,148,8
24.9988,397300000,149,0
19.0295,62960000,149,12
17.4772,28670000,149,15
24.5008,21130000,149,1
23.3695,13060000,149,3
24.5517,66230000,150,1
22.0175,47340000,150,5
