lev_id,E_calc,J,P,lev_name
0,0.0271,3.5,-1,id 0 0.0271 4f4.(5I).6s 6I 3.5
1,0.5251,4.5,-1,id 1 0.5251 4f4.(5I).6s 6I 4.5
2,1.4636,5.5,-1,id 2 1.4636 4f4.(5I).6s 6I 5.5
3,1.6564,4.5,-1,id 3 1.6564 4f4.(5I).6s 4I 4.5
4,2.5646,6.5,-1,id 4 2.5646 4f4.(5I).6s 6I 6.5
5,3.0593,5.5,-1,id 5 3.0593 4f4.(5I).6s 4I 5.5
6,3.7701,7.5,-1,id 6 3.7701 4f4.(5I).6s 6I 7.5
7,4.4939,5.5,-1,id 7 4.4939 4f4.(5I).5d 6L 5.5
8,4.4962,6.5,-1,id 8 4.4962 4f4.(5I).6s 4I 6.5
9,5.0444,8.5,-1,id 9 5.0444 4f4.(5I).6s 6I 8.5
10,5.5254,6.5,-1,id 10 5.5254 4f4.(5I).5d 6L 6.5
11,5.9622,7.5,-1,id 11 5.9622 4f4.(5I).6s 4I 7.5
12,5.9964,4.5,-1,id 12 5.9964 4f4.(5I).5d 6K 4.5
13,6.6567,7.5,-1,id 13 6.6567 4f4.(5I).5d 6L 7.5
14,6.9194,5.5,-1,id 14 6.9194 4f4.(5I).5d 6K 5.5
15,7.5487,3.5,-1,id 15 7.5487 4f4.(5I).5d 6I 3.5
16,7.8701,8.5,-1,id 16 7.8701 4f4.(5I).5d 6L 8.5
17,7.9331,6.5,-1,id 17 7.9331 4f4.(5I).5d 6K 6.5
18,8.4333,4.5,-1,id 18 8.4333 4f4.(5I).5d 6I 4.5
19,8.7386,1.5,-1,id 19 8.7386 4f4.(5I).5d 6G 1.5
20,8.7855,2.5,-1,id 20 8.7855 4f4.(5I).5d 6G 2.5
21,9.0184,7.5,-1,id 21 9.0184 4f4.(5I).5d 6K 7.5
22,9.1498,9.5,-1,id 22 9.1498 4f4.(5I).5d 6L 9.5
23,9.2183,3.5,-1,id 23 9.2183 4f4.(5I).5d 6G 3.5
24,9.3673,5.5,-1,id 24 9.3673 4f4.(5I).5d 6I 5.5
25,9.7046,2.5,-1,id 25 9.7046 4f4.(5I).5d 6H 2.5
26,9.9309,3.5,-1,id 26 9.9309 4f4.(5I).5d 4H 3.5
27,10.159,8.5,-1,id 27 10.1590 4f4.(5I).5d 6K 8.5
28,10.2685,0.5,-1,id 28 10.2685 4f4.(5F).6s 6F 0.5
29,10.3409,6.5,-1,id 29 10.3409 4f4.(5I).5d 6I 6.5
30,10.4494,1.5,-1,id 30 10.4494 4f4.(5F).6s 6F 1.5
31,10.4826,10.5,-1,id 31 10.4826 4f4.(5I).5d 6L 10.5
32,10.7005,3.5,-1,id 32 10.7005 4f4.(5I).5d 6H 3.5
33,10.7917,2.5,-1,id 33 10.7917 4f4.(5F).6s 6F 2.5
34,10.868,4.5,-1,id 34 10.8680 4f4.(5I).5d 6G 4.5
35,10.9111,5.5,-1,id 35 10.9111 4f4.(5I).5d 6G 5.5
36,11.3398,9.5,-1,id 36 11.3398 4f4.(5I).5d 6K 9.5
37,11.3683,3.5,-1,id 37 11.3683 4f4.(5F).6s 6F 3.5
38,11.3684,7.5,-1,id 38 11.3684 4f4.(5I).5d 6I 7.5
39,11.4485,1.5,-1,id 39 11.4485 4f4.(5F).6s 4F 1.5
40,11.6383,6.5,-1,id 40 11.6383 4f4.(5I).5d 4L 6.5
41,11.7486,4.5,-1,id 41 11.7486 4f4.(5I).5d 6H 4.5
42,11.9962,5.5,-1,id 42 11.9962 4f4.(5I).5d 6G 5.5
43,12.0592,4.5,-1,id 43 12.0592 4f4.(5F).6s 6F 4.5
44,12.0902,2.5,-1,id 44 12.0902 4f4.(5F).6s 4F 2.5
45,12.2361,3.5,-1,id 45 12.2361 4f4.(5I).5d 4G 3.5
46,12.2593,6.5,-1,id 46 12.2593 4f4.(5I).5d 6G 6.5
47,12.3626,5.5,-1,id 47 12.3626 4f4.(5I).5d 4K 5.5
48,12.4437,8.5,-1,id 48 12.4437 4f4.(5I).5d 6I 8.5
