lev_id,E_calc,J,P,lev_name
0,0,7/2,0,id 0 E_c 0.0 4f(4)5I1.6s_6I 7/2
1,0.54786,9/2,0,id 1 E_c 547.86 4f(4)5I1.6s_6I 9/2
2,1.40436,11/2,0,id 2 E_c 1404.36 4f(4)5I1.6s_6I 11/2
3,1.78952,9/2,0,id 3 E_c 1789.52 4f(4)5I1.6s_4I 9/2
4,2.42558,13/2,0,id 4 E_c 2425.58 4f(4)5I1.6s_6I 13/2
5,3.12096,11/2,0,id 5 E_c 3120.96 4f(4)5I1.6s_4I 11/2
6,3.56421,15/2,0,id 6 E_c 3564.21 4f(4)5I1.6s_6I 15/2
7,4.01924,11/2,0,id 7 E_c 4019.24 4f(4)5I1.5d_6L 11/2
8,4.50607,13/2,0,id 8 E_c 4506.07 4f(4)5I1.6s_4I 13/2
9,4.78943,17/2,0,id 9 E_c 4789.43 4f(4)5I1.6s_6I 17/2
10,4.94103,13/2,0,id 10 E_c 4941.03 4f(4)5I1.5d_6L 13/2
11,5.47769,13/2,1,id 11 E_c 5477.69 4f(3)4I1.5d(2)3F2_6M 13/2
12,5.94053,15/2,0,id 12 E_c 5940.53 4f(4)5I1.6s_4I 15/2
13,5.96542,15/2,0,id 13 E_c 5965.42 4f(4)5I1.5d_6L 15/2
14,6.06511,9/2,0,id 14 E_c 6065.11 4f(4)5I1.5d_6K 9/2
15,6.75071,15/2,1,id 15 E_c 6750.71 4f(3)4I1.5d(2)3F2_6M 15/2
16,6.88131,11/2,0,id 16 E_c 6881.31 4f(4)5I1.5d_6K 11/2
17,7.07884,17/2,0,id 17 E_c 7078.84 4f(4)5I1.5d_6L 17/2
18,7.80257,13/2,0,id 18 E_c 7802.57 4f(4)5I1.5d_6K 13/2
19,8.14761,17/2,1,id 19 E_c 8147.61 4f(3)4I1.5d(2)3F2_6M 17/2
20,8.26807,19/2,0,id 20 E_c 8268.07 4f(4)5I1.5d_6L 19/2
21,8.45877,7/2,0,id 21 E_c 8458.77 4f(4)5I1.5d_6I 7/2
22,8.80879,15/2,0,id 22 E_c 8808.79 4f(4)5I1.5d_6K 15/2
23,9.18878,9/2,0,id 23 E_c 9188.78 4f(4)5I1.5d_6I 9/2
24,9.52108,21/2,0,id 24 E_c 9521.08 4f(4)5I1.5d_6L 21/2
25,9.65828,19/2,1,id 25 E_c 9658.28 4f(3)4I1.5d(2)3F2_6M 19/2
26,9.67659,11/2,1,id 26 E_c 9676.59 4f(3)4I1.5d(2)3F2_6L 11/2
27,9.68424,3/2,0,id 27 E_c 9684.24 4f(4)5I1.5d_6G 3/2
28,9.8882,17/2,0,id 28 E_c 9888.2 4f(4)5I1.5d_6K 17/2
29,9.92269,11/2,1,id 29 E_c 9922.69 4f(3)4I1.5d_5L.6s_6L 11/2
30,9.98607,5/2,0,id 30 E_c 9986.07 4f(4)5I1.5d_6G 5/2
31,10.01009,11/2,0,id 31 E_c 10010.09 4f(4)5I1.5d_6I 11/2
32,10.08613,9/2,1,id 32 E_c 10086.13 4f(3)4I1.5d_5K.6s_6K 9/2
33,10.14344,9/2,1,id 33 E_c 10143.44 4f(3)4I1.5d(2)3F2_6K 9/2
34,10.471,7/2,0,id 34 E_c 10471.0 4f(4)5I1.5d_6G 7/2
35,10.70806,13/2,1,id 35 E_c 10708.06 4f(3)4I1.5d(2)3F2_6L 13/2
36,10.90666,13/2,1,id 36 E_c 10906.66 4f(3)4I1.5d_5L.6s_6L 13/2
37,10.91788,13/2,0,id 37 E_c 10917.88 4f(4)5I1.5d_6I 13/2
38,10.96195,11/2,1,id 38 E_c 10961.95 4f(3)4I1.5d_5K.6s_6K 11/2
39,11.02921,19/2,0,id 39 E_c 11029.21 4f(4)5I1.5d_6K 19/2
40,11.09639,11/2,1,id 40 E_c 11096.39 4f(3)4I1.5d(2)3F2_6K 11/2
41,11.18725,9/2,0,id 41 E_c 11187.25 4f(4)5I1.5d_6G 9/2
42,11.27111,21/2,1,id 42 E_c 11271.11 4f(3)4I1.5d(2)3F2_6M 21/2
43,11.40162,7/2,0,id 43 E_c 11401.62 4f(4)5I1.5d_4H 7/2
44,11.49612,5/2,0,id 44 E_c 11496.12 4f(4)5I1.5d_6H 5/2
45,11.58018,7/2,1,id 45 E_c 11580.18 4f(3)4I1.5d(2)3F2_6I 7/2
46,11.90368,15/2,1,id 46 E_c 11903.68 4f(3)4I1.5d(2)3F2_6L 15/2
47,11.90597,15/2,0,id 47 E_c 11905.97 4f(4)5I1.5d_6I 15/2
48,12.09381,13/2,0,id 48 E_c 12093.81 4f(4)5I1.5d_4L 13/2
49,12.12675,13/2,1,id 49 E_c 12126.75 4f(3)4I1.5d_5K.6s_6K 13/2
50,12.17701,11/2,0,id 50 E_c 12177.01 4f(4)5I1.5d_6G 11/2
51,12.1811,13/2,1,id 51 E_c 12181.1 4f(3)4I1.5d(2)3F2_6K 13/2
