wn_calc,gA_calc,upper_lev_id,lower_lev_id
22.745,1.09524e+08,550,26
23.391,2.5968e+08,571,26
24.959,24024000,645,26
25.373,45684000,550,26
21.325,6916800,550,40
21.971,2623200,571,40
23.539,3.648e+08,645,40
23.953,6858000,550,40
19.03,1592400,550,65
21.658,29484000,550,65
18.454,9568800,550,118
14.528,1304400,550,139
17.156,10532400,550,139
16.301,4009200,645,146
14.215,1592400,645,187
11.545,1252800,645,252
11.959,4070400,550,252
11.105,6114000,645,265
11.519,9849600,550,265
22.349,53984000,530,26
20.929,4540200,530,40
22.973,98784000,619,40
20.678,21812000,619,65
17.474,2790200,619,118
16.176,11708200,619,139
15.735,3631600,619,146
13.649,2933000,619,187
11.997,1712200,619,224
10.539,1457400,619,265
23.641,26270000,587,26
22.221,2019000,587,40
15.424,1349000,587,139
14.983,3858000,587,146
10.227,1759000,587,252
26.944,2.4456e+08,550,11
27.59,1.095e+09,571,11
29.158,1470000,645,11
29.572,11971200,550,11
22.36,3120000,571,35
23.927,86040000,645,35
24.341,4531200,550,35
22.454,5194800,645,51
22.868,3537600,550,51
20.124,1558800,645,79
15.102,6471600,550,127
17.316,6871200,645,127
17.73,14340000,550,127
14.569,1302000,550,138
17.196,2188800,550,138
26.548,4.2672e+08,530,11
28.592,24892000,619,11
21.317,15932000,530,35
23.362,1.16802e+08,619,35
21.888,21196000,619,51
19.558,2084600,619,79
14.706,4538800,530,127
16.75,14896000,619,127
14.173,2326800,530,138
28.386,16048000,608,11
23.156,69552000,608,35
21.683,13753600,608,51
16.545,16752000,608,127
25.275,3488800,530,15
27.319,3.2634e+08,619,15
20.122,1608600,530,46
20.667,2588600,619,66
18.903,6000400,619,92
14.589,15302000,530,130
16.633,3540600,619,130
27.113,5.256e+08,608,15
21.96,34928000,608,46
18.697,93072000,608,92
25.716,14388800,608,19
20.607,3953600,608,60
14.973,15764800,608,154
21.737,1.438e+08,587,45
18.534,25980000,587,86
16.573,12320000,587,119
13.857,7240000,587,164
13.701,2623000,587,170
22.278,78960000,550,33
22.924,21228000,571,33
24.492,1393200,645,33
24.906,16056000,550,33
20.015,9472800,550,55
22.229,1.6992e+08,645,55
22.643,5948400,550,55
16.888,8871600,550,96
17.534,1400400,571,96
19.102,12012000,645,96
19.516,87432000,550,96
16.365,15744000,550,107
17.011,2853600,571,107
18.579,7207200,645,107
18.993,31680000,550,107
15.373,2187600,550,123
16.019,50832000,571,123
17.587,1878000,645,123
18.001,4017600,550,123
14.703,1568400,645,175
15.117,1521600,550,175
23.174,2.702e+08,587,33
20.911,1876000,587,55
17.784,6131000,587,96
17.261,3774000,587,107
16.269,4827000,587,123
11.453,4062000,146,16
19.144,3849600,341,16
16.015,3128400,341,31
19.204,1424400,441,31
13.525,1460400,441,99
20.261,1428000,474,31
25.174,3013200,533,16
18.362,1447200,533,71
25.783,1491600,559,16
13.393,4123200,146,10
11.436,3721200,265,48
17.714,1964400,320,18
17.891,1886400,330,18
10.764,1286400,330,89
18.222,40032000,341,18
18.824,4615200,355,18
14.442,5776800,395,67
18.297,10930800,441,37
14.536,1218000,441,82
18.879,1615200,456,37
19.353,7209600,474,37
27.115,3360000,533,10
24.253,2984400,533,18
19.962,5798400,533,48
24.862,2022000,559,18
25.382,1226400,580,18
17.571,1426800,580,97
16.239,6283200,580,120
18.532,1450800,624,97
19.599,3060000,629,82
13.265,1840600,487,132
15.782,292400,585,408
11.066,925800,582,226
12.445,398800,621,215
11.843,1568000,171,18
11.091,6456800,254,48
19.026,3019800,359,18
15.911,2220400,359,37
15.484,6440000,383,48
18.917,1453200,638,97
15.083,3590400,548,127
13.681,2142000,171,13
18.02,30660000,359,22
18.769,5268200,383,22
18.224,10792600,467,47
19.264,1492400,555,63
15.64,3061800,595,142
25.722,1611400,638,22
16.569,10054800,638,142
15.958,1359800,326,27
19.656,3024000,444,27
20.596,219400,476,27
24.136,423600,606,27
24.333,727800,614,27
14.324,308200,614,172
24.419,3900000,621,27
14.41,1783600,621,172
12.215,489400,621,220
10.796,369000,621,259
17.235,1990400,548,92
11.482,6659200,300,63
12.676,1787200,339,63
13.325,3174400,356,63
19.029,4774400,394,22
15.932,4334400,394,47
15.527,4971200,428,63
15.308,2374400,586,142
24.627,5920000,591,22
28.897,3148800,651,13
26.054,15689600,651,22
26.77,10649600,651,22
19.361,4227200,651,110
10.277,5769000,387,130
13.251,3477600,485,130
16.326,2458800,602,130
10.985,3925800,602,239
10.002,3808800,631,286
10.156,2121600,300,81
16.773,2678400,356,28
11.998,1854400,356,81
17.95,53824000,394,28
18.976,11243200,428,28
11.297,1875200,428,133
17.897,3457600,489,57
18.67,17456000,514,57
19.236,2468800,539,57
20.309,4075200,586,57
26.357,7955200,591,17
27.784,25504000,651,17
24.974,3182400,651,28
28.5,16944000,651,17
25.691,5099200,651,28
20.916,13203200,651,81
11.066,2174400,651,292
10.458,2001600,445,154
11.174,1906200,201,28
11.907,3978000,216,28
12.97,3409200,245,28
11.852,7597800,353,81
13.3,5558400,398,81
19.174,2401200,437,28
16.101,5864400,437,57
12.952,1949400,641,214
12.552,2524000,508,154
14.789,4588000,599,154
13.454,3154000,599,182
13.915,4106000,623,182
13.527,3526200,216,20
10.224,2148000,529,216
14.59,2651400,245,20
12.243,3734000,529,263
15.486,1971000,353,39
10.458,2334600,353,108
16.935,16286400,398,39
11.906,4224600,398,108
18.033,52362000,437,39
13.004,2172600,437,108
12.313,3794400,420,113
11.361,2162000,230,39
12.547,12084000,266,39
12.238,17330000,407,108
10.003,501800,366,122
13.214,1522200,487,134
12.205,1534800,554,186
12.77,209200,578,186
10.193,966000,475,179
12.646,618800,633,215
12.179,416000,442,122
16.384,1339200,345,27
24.042,1062800,601,27
14.033,587200,601,172
24.62,2640000,633,27
14.61,1371600,633,172
12.416,423200,633,220
15.661,1762800,328,30
14.572,919200,345,44
16.338,567600,393,44
19.421,550400,449,30
17.911,416800,449,44
16.955,1851200,449,56
19.006,470400,509,56
22.191,1646000,600,44
22.23,5672000,601,44
21.275,3751200,601,56
24.318,7592000,633,30
14.307,3163200,633,176
12.072,798000,633,227
29.426,445600,653,56
10.994,874400,466,156
10.514,412400,466,169
11.701,497600,503,169
13.403,486400,569,169
16.445,1422000,351,30
20.19,624000,558,56
15.565,2429400,344,34
14.059,1285800,351,54
18.816,604800,377,21
16.804,777000,377,34
15.873,2071800,377,43
19.121,15474000,384,21
20.108,650400,483,34
17.419,623400,497,72
17.539,1320600,501,72
20.743,823800,537,43
22.17,2188200,558,34
21.24,20760000,558,43
18.925,3154200,558,72
22.26,1371600,598,43
26.533,2013600,656,21
23.59,1926600,656,43
27.272,2487000,607,21
24.329,1086000,607,43
28.616,3280000,652,246
23.919,2171200,652,384
14.56,1009800,504,119
16.477,2534400,583,119
12.056,910800,516,170
14.664,1385400,634,202
11.608,824400,612,231
