known_lev_indices,known_lev_values
0,0
1,1.1377937
2,2.387544
3,3.7145476
4,5.0932573
49,21.4794037
95,27.6750237
29,18.8836685
39,20.3889948
50,21.4918816
60,23.0104503
98,28.7453071
16,15.2624374
34,19.6166215
38,20.3487417
54,22.1812988
63,23.3477206
75,24.8784119
103,29.3974225
112,30.1757366
22,16.938068
42,20.7993486
52,21.9805222
61,23.1200728
68,24.0585177
78,25.0348322
121,31.1464568
126,31.5592172
28,18.6562724
58,22.702777
67,24.0032251
79,25.3195787
86,26.0979059
128,31.7818015
147,32.8324468
41,20.4108974
72,24.5922593
92,27.4419113
55,22.1971153
