L1,L2,wn,wn_unc,I_obs,snr
0,49,21.4794037,1.7e-06,20276,154
0,95,27.6750237,2.1e-06,82365,1169
0,29,18.8836685,2.8e-06,276996,4677
1,29,17.7458752,1.8e-06,10029,70
1,39,19.2512013,1.9e-06,73852,1443
0,39,20.3889941,1.9e-06,7669,165
1,50,20.3540888,1.9e-06,28266,647
0,50,21.4918772,0.001,18759,93
1,60,21.8726544,0.001,10270,75
0,60,23.0104122,0.001,3895,21
1,98,27.6075135,2.1e-06,85909,1161
0,98,28.7453205,0.001,7943,80
0,16,15.2624374,2e-06,83539,312
1,16,14.1246311,1.73e-05,1753,4
1,34,18.478827,2.1e-06,39278,533
2,34,17.2290782,1.9e-06,20440,114
1,38,19.210946,2.4e-06,231607,4868
0,38,20.3487431,2.1e-06,21077,376
2,38,17.961198,3.7e-06,5248,51
2,54,19.7937522,0.001,70480,1653
2,63,20.9601771,1.9e-06,16177,264
1,63,22.2099254,4e-06,12245,53
2,75,22.4908579,0.001,6082,46
2,103,27.0098793,2.3e-06,35691,416
1,103,28.2596101,0.001,1789,20
2,112,27.7881914,2.3e-06,61568,679
1,112,29.0379455,2.9e-06,8159,80
1,22,15.8002734,0.001,66333,378
2,22,14.5505172,1.27e-05,4265,12
2,42,18.4118048,1.9e-06,62739,810
3,42,17.0848098,0.001,24207,139
1,42,19.6615761,0.001,6319,77
2,52,19.5929839,0.001,171788,3854
1,52,20.8427285,2e-06,21433,326
3,61,19.40551,0.001,24434,319
2,61,20.7325279,2.8e-06,3225,65
3,68,20.3439706,2e-06,52241,1079
2,68,21.6709779,2.05e-05,710,5
3,78,21.3202726,0.001,9926,77
2,78,22.6472916,7.2e-06,5033,26
1,78,23.8970214,0.001,1553,7
3,121,27.4319092,2.3e-06,54146,648
2,121,28.7589123,2.1e-06,4213,52
3,126,27.8446698,2.2e-06,26789,314
2,126,29.1717075,0.001,7503,74
2,28,16.2687288,1.9e-06,53703,341
3,28,14.9417211,1.31e-05,3338,12
3,58,18.9882307,1.9e-06,145909,2366
4,58,17.609518,2e-06,19852,119
2,58,20.3152327,1.9e-06,12217,217
3,67,20.2886786,1.9e-06,91765,1949
2,67,21.6156792,2.5e-06,11708,73
4,67,18.90997,0.001,8411,102
4,79,20.226325,0.001,31759,555
3,79,21.605029,5.9e-06,6783,33
4,86,21.0046489,2e-06,35839,492
3,86,22.3833581,5.7e-06,2381,15
4,128,26.6885459,0.001,47029,527
3,128,28.0672488,7.2e-06,1576,15
4,147,27.7391896,1.3e-06,36773,420
3,147,29.117901,5.9e-06,2913,34
3,41,16.6963501,1.9e-06,49365,327
4,41,15.317632,1.26e-05,3259,12
3,72,20.8777106,2.1e-06,10251,167
4,72,19.499003,1.9e-06,201545,4150
4,92,22.3486544,2e-06,18841,111
4,55,17.1038578,1.9e-06,44458,3100
