lev_id,E_calc,J,P,lev_name
0,0,4,0,    0.000  0.605 4f4  _5I5I  4.0
1,1.137795,5,0, 1137.795  0.902 4f4  _5I5I  5.0
2,2.387529,6,0, 2387.529  1.071 4f4  _5I5I  6.0
3,3.714537,7,0, 3714.537  1.177 4f4  _5I5I  7.0
4,5.09325,8,0, 5093.250  1.247 4f4  _5I5I  8.0
5,9.611,1,0, 9611.000  0.022 4f4  _5F5F  1.0
6,9.951,2,0, 9951.000  1.006 4f4  _5F5F  2.0
7,10.6,3,0,10600.000  1.243 4f4  _5F5F  3.0
8,11.176,2,0,11176.000  1.968 4f4  _5S5S  2.0
9,11.34,4,0,11340.000  1.327 4f4  _5F5F  4.0
10,12.347,5,0,12347.000  1.385 4f4  _5F5F  5.0
11,13.879,2,0,13879.000  0.360 4f4  _5G5G  2.0
12,13.895,6,0,13895.000  0.860 4f4  _3K3K2 6.0
13,13.913,4,0,13913.000  0.961 4f4  _3H3H4 4.0
14,14.237,3,0,14237.000  0.891 4f4  _5G5G  3.0
15,15.013,7,0,15013.000  1.008 4f4  _3K3K2 7.0
16,15.26242,5,1,15262.420  0.688 4f35d~4I5K  5.0
17,15.332,6,1,15332.000  0.725 4f35d~4I5L  6.0
18,15.585,5,0,15585.000  1.169 4f4  _5G5G  5.0
19,15.801,4,0,15801.000  1.046 4f4  _5G5G  4.0
20,16.304,8,0,16304.001  1.108 4f4  _3K3K2 8.0
21,16.693,3,0,16693.001  0.794 4f4  _3G3G2 3.0
22,16.93804,6,1,16938.044  0.912 4f35d~4I5K  6.0
23,17.15,7,1,17150.000  0.915 4f35d~4I5L  7.0
24,17.307,5,0,17306.999  1.156 4f4  _5G5G  5.0
25,17.476,6,0,17476.000  1.298 4f4  _5G5G  6.0
26,17.648,2,0,17648.001  1.212 4f4  _3D3D1 2.0
27,18.491,1,0,18490.999  0.934 4f4  _3D3D1 1.0
28,18.65624,7,1,18656.240  1.054 4f35d~4I5K  7.0
29,18.88365,4,1,18883.652  0.640 4f35d~4I5I  4.0
30,18.957,4,0,18957.001  1.029 4f4  _3G3G2 4.0
31,19.082,8,1,19082.001  1.043 4f35d~4I5L  8.0
32,19.095,6,0,19094.999  1.198 4f4  _3H3H4 6.0
33,19.40343,3,1,19403.433  0.575 4f35d~4I5H  3.0
34,19.61661,5,1,19616.608  0.869 4f35d~4I3I  5.0
35,19.693,3,0,19693.001  1.313 4f4  _3D3D1 3.0
36,19.829,0,0,19829.000  0.000 4f4  _3P3P2 0.0
37,19.908,7,0,19908.001  0.889 4f4  _3L3L  7.0
38,20.34872,5,1,20348.715  0.924 4f35d~4I5I  5.0
39,20.38898,4,1,20388.981  0.836 4f35d~4I5H  4.0
40,20.397,2,0,20396.999  1.129 4f4  _3P3P2 2.0
41,20.41086,8,1,20410.864  1.150 4f35d~4I5K  8.0
42,20.79931,6,1,20799.314  1.021 4f35d~4I3I  6.0
43,20.885,5,0,20885.000  1.182 4f4  _3G3G2 5.0
44,20.89,8,0,20889.999  1.011 4f4  _3L3L  8.0
45,21.104,9,1,21104.000  1.133 4f35d~4I5L  9.0
46,21.335,4,0,21334.999  1.216 4f4  _3F3F4 4.0
47,21.353,2,1,21353.001  0.345 4f35d~4I5G  2.0
48,21.394,1,0,21393.999  1.051 4f4  _3P3P2 1.0
49,21.47944,3,1,21479.437  0.825 4f35d~4I5G  3.0
50,21.49186,4,1,21491.858  0.948 4f35d~4I5H  4.0
51,21.834,9,0,21834.000  1.096 4f4  _3L3L  9.0
52,21.98051,6,1,21980.505  1.084 4f35d~4I5I  6.0
53,22.12,8,0,22120.001  0.953 4f4  _3M3M  8.0
54,22.18126,5,1,22181.265  1.032 4f35d~4I5H  5.0
55,22.19709,9,1,22197.090  1.218 4f35d~4I5K  9.0
56,22.345,2,0,22344.999  1.017 4f4  _3P3P2 2.0
57,22.637,2,0,22636.999  0.700 4f4  _3F3F4 2.0
58,22.70275,7,1,22702.749  1.146 4f35d~4I5I  7.0
59,22.915,3,0,22915.001  1.122 4f4  _3F3F4 3.0
60,23.01034,4,1,23010.344  1.031 4f35d~4I5G  4.0
61,23.12008,6,1,23120.081  0.940 4f35d~4I3K  6.0
62,23.2,10,1,23200.001  1.200 4f35d~4I5L 10.0
63,23.34769,5,1,23347.692  1.153 4f35d~4I5G  5.0
64,23.47,0,0,23469.999  0.000 4f4  _5D5D  0.0
65,23.592,5,0,23591.999  0.850 4f4  _3I3I1 5.0
66,23.84,1,0,23840.000  1.491 4f4  _5D5D  1.0
67,24.00319,7,1,24003.189  1.176 4f35d~4I5I  7.0
68,24.05849,6,1,24058.489  1.122 4f35d~4I5H  6.0
69,24.094,3,1,24094.000  0.789 4f35d~4I3G  3.0
70,24.471,2,0,24471.001  1.470 4f4  _5D5D  2.0
71,24.496,6,0,24496.000  1.028 4f4  _3I3I1 6.0
72,24.59223,8,1,24592.234  1.229 4f35d~4I5I  8.0
73,24.602,7,1,24601.999  0.891 4f35d~4I3L  7.0
74,24.855,3,0,24855.000  1.169 4f4  _3F3F3 3.0
75,24.87842,5,1,24878.420  1.141 4f35d~4I5G  5.0
76,25.001,7,0,25000.999  1.137 4f4  _3I3I1 7.0
77,25.023,9,0,25023.001  1.027 4f4  _3M3M  9.0
78,25.03483,6,1,25034.830  1.250 4f35d~4I5G  6.0
79,25.31957,7,1,25319.572  1.099 4f35d~4I3K  7.0
80,25.35,3,0,25350.000  1.380 4f4  _5D5D  3.0
81,25.475,4,0,25475.000  1.285 4f4  _5D5D  4.0
82,25.638,8,0,25638.000  0.960 4f4  _1L1L2 8.0
83,25.705,10,0,25705.000  1.099 4f4  _3M3M 10.0
84,25.865,2,0,25865.000  0.987 4f4  _1D1D3 2.0
85,26.085,0,1,26084.999  0.000 4f35d~4F5D  0.0
86,26.09787,7,1,26097.872  1.186 4f35d~4I5H  7.0
87,26.223,4,0,26223.000  1.210 4f4  _5D5D  4.0
88,26.481,4,1,26481.001  1.057 4f35d~4I3G  4.0
89,26.724,6,1,26724.001  1.234 4f35d~4I5G  6.0
90,26.769,8,1,26768.999  1.019 4f35d~4I3L  8.0
91,27.106,1,1,27106.001  1.491 4f35d~4F5D  1.0
92,27.44188,8,1,27441.879  1.140 4f35d~4I3K  8.0
93,27.626,2,1,27625.999  1.423 4f35d~4F5D  2.0
94,27.647,4,0,27646.999  1.256 4f4  _3F3F3 4.0
95,27.675,3,1,27675.003  0.836 4f35d~4F5H  3.0
96,27.851,3,1,27851.000  1.072 4f35d~4F5H  3.0
97,28.441,2,1,28441.000  0.443 4f35d~4F5G  2.0
98,28.74528,4,1,28745.285  0.916 4f35d~4F5H  4.0
99,28.927,5,1,28927.000  1.192 4f35d~4I3G  5.0
100,28.963,9,1,28962.999  1.114 4f35d~4I3L  9.0
101,29.113,4,1,29113.001  1.421 4f35d~4F5D  4.0
102,29.216,6,0,29216.000  1.060 4f4  _1I1I3 6.0
