wn_calc,gA_calc,upper_lev_id,lower_lev_id
55.473002,197500,556,13
55.040952,2163000,569,22
55.017997,201900,555,14
54.470002,812500,557,15
53.937998,163300,558,19
53.933998,1080000,563,20
53.858004,154500,549,13
53.477749,117900,468,4
53.326004,311800,547,14
53.141998,330500,560,21
53.102348,622300,570,29
53.095344,2125000,569,29
52.930002,127400,543,13
52.892997,363700,551,18
52.879957,477000,559,22
52.821001,422500,542,13
52.761999,115100,563,25
52.727997,127800,568,30
52.668001,444900,559,23
52.582567,620500,570,33
52.571999,211800,548,15
52.561996,243900,555,21
52.530579,592300,550,16
52.463997,181600,554,21
52.460999,518300,550,17
52.362388,4403000,569,34
52.293001,539100,561,26
52.176003,213400,557,24
52.163953,190400,553,22
51.999999,129800,548,18
51.982003,126200,545,17
51.951997,378600,553,23
51.879578,173700,544,16
51.762004,138800,547,19
51.630281,1931000,569,38
51.597019,741000,570,39
51.590015,2676000,569,39
51.582001,1933000,565,35
51.512567,30080000,564,33
51.508997,200600,554,26
51.344,284300,560,27
51.258002,293200,543,18
51.179682,3.274e+08,569,42
51.161761,4212000,559,28
51.143,878200,563,32
50.984001,240700,561,30
50.870003,1243000,547,21
50.854955,10220000,550,22
50.632999,2164000,570,47
50.506563,5219000,570,49
50.494142,4986000,570,50
50.487138,2765000,569,50
50.464005,241100,549,24
50.459388,222000,562,34
50.445757,15780000,553,28
50.429001,529300,556,30
50.390002,817900,565,43
50.375959,3643000,545,22
50.362,910800,535,17
50.343583,7177000,534,16
50.297996,174400,555,30
50.278,104300,548,24
50.274003,11870000,534,17
50.252,982500,546,23
50.204001,127400,537,18
50.203954,9790000,544,22
50.201393,569900,559,34
50.164003,14320000,545,23
50.050584,11440000,531,16
50.041,314100,542,21
50.019996,2703000,553,31
49.998491,60270000,569,52
49.997002,278700,496,9
49.991998,4584000,544,23
49.989579,11800000,530,16
49.981004,38160000,531,17
49.972999,1407000,552,31
49.962,114900,519,13
49.93158,11580000,529,16
49.929996,175900,566,47
49.862,114500,529,17
49.797731,17240000,569,54
49.755001,187300,477,5
49.693001,187900,556,35
49.687015,2367000,562,39
49.575001,129600,557,37
49.562999,9828000,564,47
49.561996,169400,555,35
49.544003,267400,561,40
49.544,915900,541,23
49.536003,115600,543,24
49.520996,187300,551,30
49.444001,253100,525,17
49.436563,10990000,564,49
49.382998,389600,551,32
49.348,334300,563,44
49.339999,111600,568,56
49.139,100800,497,10
49.038953,145700,539,22
49.018687,2845000,559,42
48.975656,1799000,570,60
48.968652,10720000,569,60
48.910577,6774000,522,16
48.873001,429100,467,5
48.858915,58180000,569,61
48.858002,511900,484,9
48.853998,104400,558,43
48.840997,41870000,522,17
48.826997,1572000,539,23
48.814003,691400,549,30
48.759999,138600,554,40
48.757997,232700,538,23
48.755956,30100000,535,22
48.74576,34970000,546,28
48.691133,4.018e+08,553,41
48.680001,110900,520,17
48.667959,1765000,534,22
48.663,638300,506,13
48.657763,79520000,545,28
48.644136,58170000,552,41
48.636001,158200,532,21
48.631304,15820000,569,63
48.606003,485700,547,30
48.606003,121000,561,46
48.598002,165100,557,43
48.596559,196200,562,49
48.584138,2348000,562,50
48.544,96070000,535,23
48.485758,2.348e+08,544,28
48.482002,138300,537,24
48.459,279100,461,5
48.456003,1368000,534,23
48.441,386500,560,48
48.40358,19410000,516,16
48.37496,1.815e+08,531,22
48.334,42730000,516,17
48.319999,1.187e+08,546,31
48.302683,566100,553,42
48.255956,3.946e+08,529,22
48.245999,502900,515,17
48.176391,153900,550,34
48.13258,7.385e+08,514,16
48.119,860900,461,6
48.051003,524400,556,46
48.03776,46270000,541,28
47.952999,593800,460,6
47.951,2.08e+08,552,45
47.921,112100,472,8
47.920579,8011000,510,16
