bs    - batch_size
st    - n_step
g     - gamma
l     - gat_n_layers (gat = graph attention)
H_GNN - gat_hidden_size
heads - gat_heads
H_MLP - mlp_hidden_size
LR    - adam_lr
tau   - tau of soft target update rate
spt   - steps_per_train
Max Training reward is the maximum reward obtained in an episode during the 512 training episodes

Sorted Max Training Rewards (by value):
----------------------------------------------------------------------------------------------------
  bs |  st |    g |  l | H_GNN | heads | H_MLP |        LR |       tau |  spt | Max Training Reward
----------------------------------------------------------------------------------------------------
  16 |   2 | 0.99 |  3 |    32 |     4 |    32 |     1e-03 |     0.001 |    4 |   7.25 ±  0.27
  16 |   2 | 0.99 |  3 |    32 |     4 |    96 |     1e-03 |     0.001 |    4 |   7.21 ±  0.30
  16 |   2 | 0.99 |  3 |    32 |     4 |    32 |     2e-03 |     0.001 |    4 |   7.16 ±  0.38
  16 |   2 | 0.99 |  2 |    32 |     4 |    64 |     1e-03 |     0.001 |    4 |   7.04 ±  0.36
  16 |   2 | 0.99 |  2 |    32 |     4 |   128 |     1e-03 |     0.001 |    4 |   7.04 ±  0.35
  16 |   2 | 0.99 |  3 |    32 |     4 |   256 |     1e-03 |     0.001 |    4 |   7.02 ±  0.14
  16 |   2 | 0.99 |  2 |    32 |     4 |    32 |     1e-03 |     0.001 |    4 |   7.01 ±  0.41
  16 |   2 | 0.99 |  3 |    32 |     4 |    48 |     1e-03 |    0.0005 |    4 |   7.01 ±  0.27
  16 |   2 | 0.99 |  3 |    32 |     4 |    32 |     8e-04 |     0.001 |    4 |   7.01 ±  0.35
  32 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-03 |     0.001 |    4 |   6.99 ±  0.41
  16 |   2 | 0.99 |  2 |    32 |     4 |    16 |     1e-03 |     0.001 |    4 |   6.98 ±  0.21
  16 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-03 |     0.001 |    4 |   6.94 ±  0.57
  16 |   3 | 0.99 |  2 |    32 |     4 |   256 |     1e-03 |     0.001 |    4 |   6.94 ±  0.26
  16 |   1 | 0.99 |  2 |    32 |     4 |   256 |     1e-03 |     0.001 |    4 |   6.94 ±  0.52
  16 |   2 | 0.99 |  2 |    32 |     8 |   256 |     1e-03 |     0.005 |    4 |   6.93 ±  0.47
  16 |   4 | 0.99 |  2 |    32 |     4 |   256 |     1e-03 |     0.001 |    4 |   6.91 ±  0.22
  16 |   2 | 0.99 |  4 |    32 |     4 |    48 |     1e-03 |    0.0005 |    4 |   6.88 ±  0.30
  16 |   2 | 0.99 |  2 |    64 |     4 |   256 |     1e-03 |     0.005 |    4 |   6.87 ±  0.43
  16 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-03 |     0.005 |    4 |   6.87 ±  0.25
  16 |   2 | 0.99 |  2 |    16 |     4 |   256 |     1e-03 |     0.001 |    4 |   6.84 ±  0.10
  16 |   2 | 0.99 |  2 |    32 |     4 |   512 |     1e-03 |     0.001 |    4 |   6.84 ±  0.53
  16 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-03 |      0.05 |    4 |   6.81 ±  0.28
  16 |   2 | 0.99 |  2 |    16 |     2 |   256 |     1e-03 |     0.001 |    4 |   6.81 ±  0.46
  16 |   2 | 0.99 |  1 |    32 |     4 |   256 |     1e-03 |     0.001 |    4 |   6.80 ±  0.34
  16 |   2 | 0.99 |  2 |    64 |     4 |   256 |     1e-03 |      0.05 |    4 |   6.79 ±  0.16
   8 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-03 |      0.01 |    4 |   6.78 ±  0.24
  16 |   2 | 0.99 |  3 |    32 |     4 |    32 |     5e-04 |     0.001 |    4 |   6.78 ±  0.39
  16 |   2 | 0.99 |  2 |    32 |     8 |   256 |     1e-03 |      0.05 |    4 |   6.77 ±  0.30
  16 |   2 | 0.99 |  2 |    32 |     2 |   256 |     1e-03 |     0.001 |    4 |   6.75 ±  0.58
  16 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-03 |      0.01 |    4 |   6.74 ±  0.35
  16 |   2 | 0.99 |  2 |    16 |     4 |   256 |     1e-03 |      0.01 |    4 |   6.73 ±  0.32
   8 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-03 |     0.001 |    4 |   6.72 ±  0.68
  16 |   2 | 0.99 |  2 |    64 |     4 |   256 |     5e-04 |     0.005 |    4 |   6.71 ±  0.32
   8 |   2 | 0.99 |  2 |    16 |     4 |   256 |     1e-03 |      0.01 |    4 |   6.70 ±  0.26
  16 |   2 | 0.99 |  2 |    32 |     4 |   256 |     5e-04 |      0.05 |    4 |   6.69 ±  0.43
  16 |   2 | 0.99 |  2 |    64 |     8 |   256 |     1e-03 |     0.005 |    4 |   6.68 ±  0.20
  16 |   2 | 0.99 |  2 |    32 |     8 |   256 |     5e-04 |     0.005 |    4 |   6.67 ±  0.29
  16 |   2 | 0.99 |  2 |    16 |     2 |   256 |     1e-03 |      0.01 |    4 |   6.65 ±  0.21
   8 |   2 | 0.99 |  2 |    32 |     2 |   256 |     1e-03 |      0.01 |    4 |   6.64 ±  0.31
  16 |   2 | 0.99 |  2 |    32 |     4 |   256 |     5e-04 |     0.005 |    4 |   6.63 ±  0.58
   8 |   2 | 0.99 |  2 |    16 |     4 |   256 |     1e-03 |     0.001 |    4 |   6.61 ±  0.39
  16 |   2 | 0.99 |  2 |    64 |     4 |   256 |     5e-04 |      0.05 |    4 |   6.56 ±  0.34
  16 |   2 | 0.99 |  2 |    32 |     2 |   256 |     1e-03 |      0.01 |    4 |   6.55 ±  0.24
  16 |   2 | 0.99 |  2 |    32 |     8 |   256 |     5e-04 |      0.05 |    4 |   6.54 ±  0.07
   8 |   2 | 0.99 |  2 |    16 |     2 |   256 |     1e-03 |     0.001 |    4 |   6.52 ±  0.45
   8 |   2 | 0.99 |  2 |    16 |     2 |   256 |     1e-03 |      0.01 |    4 |   6.50 ±  0.27
  16 |   2 | 0.99 |  2 |    64 |     8 |   256 |     1e-03 |      0.05 |    4 |   6.50 ±  0.38
   4 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-03 |     0.001 |    4 |   6.49 ±  0.34
  16 |   2 | 0.99 |  2 |    64 |     8 |   256 |     5e-04 |     0.005 |    4 |   6.45 ±  0.41
   8 |   2 | 0.99 |  2 |    32 |     2 |   256 |     1e-03 |     0.001 |    4 |   6.44 ±  0.21
  16 |   2 | 0.99 |  2 |    32 |     4 |     8 |     1e-03 |     0.001 |    4 |   6.04 ±  1.92
  16 |   2 | 0.99 |  2 |    64 |     8 |   256 |     5e-04 |      0.05 |    4 |   5.78 ±  0.39
