bs    - batch_size
st    - n_step
g     - gamma
l     - gat_n_layers (gat = graph attention)
H_GNN - gat_hidden_size
heads - gat_heads
H_MLP - mlp_hidden_size
LR    - adam_lr
tau   - tau of soft target update rate
spt   - steps_per_train
Max Training reward is the maximum reward obtained in an episode during the 512 training episodes

Sorted Max Training Rewards (by value):
----------------------------------------------------------------------------------------------------
  bs |  st |    g |  l | H_GNN | heads | H_MLP |        LR |       tau |  spt | Max Training Reward
----------------------------------------------------------------------------------------------------
  32 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-03 |      0.01 |    4 |   6.84 ±  0.53
  16 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-03 |      0.05 |    4 |   6.75 ±  0.37
  32 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-03 |       0.1 |    4 |   6.75 ±  0.24
  32 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-03 |      0.05 |    4 |   6.71 ±  0.35
   8 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-03 |      0.05 |    4 |   6.66 ±  0.23
  16 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-03 |      0.01 |    4 |   6.65 ±  0.19
   8 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-03 |      0.01 |    4 |   6.65 ±  0.32
  32 |   2 | 0.99 |  2 |    32 |     4 |   256 |     5e-04 |       0.1 |    4 |   6.63 ±  0.35
   8 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-03 |       0.1 |    4 |   6.63 ±  0.23
  32 |   2 | 0.99 |  2 |    32 |     4 |   256 |     5e-04 |      0.01 |    4 |   6.62 ±  0.36
  32 |   2 | 0.99 |  2 |    32 |     4 |   256 |     5e-04 |      0.05 |    4 |   6.60 ±  0.30
  16 |   2 | 0.99 |  2 |    32 |     4 |   256 |     5e-04 |      0.05 |    4 |   6.59 ±  0.53
  16 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-03 |       0.1 |    4 |   6.56 ±  0.45
   8 |   2 | 0.99 |  2 |    32 |     4 |   256 |     5e-04 |      0.01 |    4 |   6.56 ±  0.41
   4 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-03 |      0.05 |    4 |   6.54 ±  0.37
  16 |   2 | 0.99 |  2 |    32 |     4 |   256 |     5e-04 |      0.01 |    4 |   6.53 ±  0.54
   4 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-03 |       0.1 |    4 |   6.50 ±  0.41
  16 |   2 | 0.99 |  2 |    32 |     4 |   256 |     5e-04 |       0.1 |    4 |   6.44 ±  0.31
   8 |   2 | 0.99 |  2 |    32 |     4 |   256 |     5e-04 |      0.05 |    4 |   6.43 ±  0.40
   8 |   2 | 0.99 |  2 |    32 |     4 |   256 |     5e-04 |       0.1 |    4 |   6.41 ±  0.32
   4 |   2 | 0.99 |  2 |    32 |     4 |   256 |     5e-04 |      0.05 |    4 |   6.40 ±  0.34
   4 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-03 |      0.01 |    4 |   6.38 ±  0.25
   4 |   2 | 0.99 |  2 |    32 |     4 |   256 |     5e-04 |       0.1 |    4 |   6.35 ±  0.63
   4 |   2 | 0.99 |  2 |    32 |     4 |   256 |     5e-04 |      0.01 |    4 |   6.24 ±  0.40
   4 |   2 | 0.99 |  2 |    32 |     4 |   256 |     5e-03 |      0.01 |    4 |   5.93 ±  0.28
   4 |   2 | 0.99 |  2 |    32 |     4 |   256 |     5e-03 |      0.05 |    4 |   5.86 ±  0.19
  16 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-04 |       0.1 |    4 |   5.75 ±  0.70
  32 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-04 |      0.01 |    4 |   5.74 ±  0.56
  16 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-04 |      0.01 |    4 |   5.72 ±  0.26
   4 |   2 | 0.99 |  2 |    32 |     4 |   256 |     5e-03 |       0.1 |    4 |   5.72 ±  0.34
   8 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-04 |       0.1 |    4 |   5.71 ±  0.58
  16 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-04 |      0.05 |    4 |   5.67 ±  0.49
  32 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-04 |      0.05 |    4 |   5.66 ±  0.44
  32 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-04 |       0.1 |    4 |   5.62 ±  0.71
   8 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-04 |      0.01 |    4 |   5.62 ±  0.77
   8 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-04 |      0.05 |    4 |   5.51 ±  0.68
   4 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-04 |      0.01 |    4 |   5.35 ±  0.36
   4 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-04 |       0.1 |    4 |   5.34 ±  0.32
   4 |   2 | 0.99 |  2 |    32 |     4 |   256 |     1e-04 |      0.05 |    4 |   5.34 ±  0.50
