lid1,lid2,E1,E2,J1,J2,snr,wn_ritz,wn_obs,wn_obs_unc,obs-ritz,I_calc,I_obs,gA,L1,L2
0,120,0.0000,23229.9657,3.5,4.5,4927,23229.9657,23229.9661,0.0011,0.0004,8.6e+05,9.4e+05,4.5e+08,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 120 23.1930 4f4.(5I).6p 6K* 4.5
0,149,0.0000,25138.5246,3.5,3.5,887,25138.5246,25138.5252,0.0013,0.0007,6.8e+05,2.8e+05,4.0e+08,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 149 25.0259 4f4.(5I).6p 6I* 3.5
0,168,0.0000,25649.3222,3.5,2.5,800,25649.3222,25649.3204,0.0011,-0.0018,5.7e+05,7.2e+04,3.9e+08,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 168 25.7863 4f4.(5I).6p 6H* 2.5
0,122,0.0000,23171.0909,3.5,4.5,664,23171.0909,23171.1007,0.0012,0.0098,4.1e+05,1.7e+05,1.5e+08,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 122 23.2177 4f3.(4I*).5d.(2D).(3G*).6s 2G* 4.5
0,127,0.0000,23537.3653,3.5,4.5,2310,23537.3653,23537.3660,0.0012,0.0007,3.2e+05,5.3e+05,1.4e+08,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 127 23.4928 4f3.(4I*).5d2.(3F) 2G* 4.5
0,124,0.0000,23409.5035,3.5,4.5,295,23409.5035,23409.5060,0.0012,0.0026,2.0e+05,6.8e+04,7.7e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 124 23.4045 4f3.(4I*).5d2.(3F) 2G* 4.5
0,157,0.0000,25295.2595,3.5,3.5,1077,25295.2595,25295.2599,0.0012,0.0004,1.6e+05,3.0e+05,1.0e+08,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 157 25.3025 4f4.(5I).6p 6I* 3.5
0,141,0.0000,24467.9971,3.5,3.5,405,24467.9971,24467.9945,0.0011,-0.0026,1.4e+05,8.7e+04,6.8e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 141 24.6183 4f3.(4I*).5d2.(1G) 4G* 3.5
0,112,0.0000,22455.5986,3.5,4.5,614,22455.5986,22455.5980,0.0012,-0.0006,9.7e+04,1.3e+05,2.7e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 112 22.4135 4f3.(4I*).5d2.(3F) 4F* 4.5
0,151,0.0000,25044.6406,3.5,3.5,1834,25044.6406,25044.6389,0.0011,-0.0016,9.3e+04,3.6e+05,5.4e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 151 25.0885 4f3.(4I*).5d2.(1D) 4G* 3.5
0,137,0.0000,24321.2290,3.5,4.5,908,24321.2290,24321.2307,0.0011,0.0017,9.0e+04,1.9e+05,4.4e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 137 24.3206 4f3.(4I*).5d2.(3P) 4I* 4.5
0,179,0.0000,26206.7917,3.5,3.5,1218,26206.7917,26206.7940,0.0013,0.0023,8.0e+04,1.2e+05,7.6e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 179 26.1962 4f4.(5I).6p 6H* 3.5
0,123,0.0000,23397.3507,3.5,3.5,496,23397.3507,23397.3521,0.0010,0.0014,7.4e+04,8.4e+04,2.7e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 123 23.3876 4f3.(4I*).5d2.(3P) 4H* 3.5
0,113,0.0000,22389.8249,3.5,3.5,523,22389.8249,22389.8268,0.0009,0.0019,7.2e+04,6.5e+04,2.0e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 113 22.4321 4f3.(4I*).5d2.(1G) 4H* 3.5
0,117,0.0000,22850.5308,3.5,3.5,893,22850.5308,22850.5326,0.0010,0.0019,6.9e+04,1.2e+05,2.2e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 117 22.8975 4f3.(4I*).5d2.(1G) 4H* 3.5
0,167,0.0000,25771.4927,3.5,4.5,92,25771.4927,25771.4958,0.0015,0.0031,6.3e+04,1.4e+04,6.1e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 167 25.7418 4f4.(5I).6p 6I* 4.5
0,192,0.0000,26640.0616,3.5,3.5,849,26640.0616,26640.0623,0.0013,0.0007,6.3e+04,7.8e+04,7.1e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 192 26.6607 4f4.(5I).6p 6H* 3.5
